INSTRUMENT_ID,INSTRUMENT_TYPE,TRADE_CODE,
4224,Corporate bond,RU000A0JS710,
9057,Subfederal bond,RU000A0JVV49,
9204,Corporate bond,RU000A0JW2T8,
9542,Bond,RU000A0JWWG0,
6091,Bonds of a foreign issuer,XS0864383723,
10261,Bonds of a foreign issuer,XS1503160571,
10396,Corporate bond,RU000A0JXU89,
1595,Corporate bond,RU000A0JPYA3,
10750,Bond,RU000A0ZYXM8,
9913,Corporate bond,RU000A0JXQQ9,
9269,Corporate bond,RU000A0JWA92,
4243,Corporate bond,RU000A0JSL87,
4613,Bond,RU000A0JTEM2,
9192,Corporate bond,RU000A0JW118,
5769,Mortgage participation certificate,RU000A0JUGA0,
5795,Corporate bond,RU000A0JUJW8,
8784,Bond,RU000A0JVBF8,
9417,Bond,RU000A0JWL32,
3528,Unit closed UIF,RU000A0JRHC0,
5774,Corporate bond,RU000A0JUHV4,
9871,Corporate bond,RU000A0JXM22,
10883,Corporate bond,RU000A0ZYJ26,
10924,Bond,RU000A0ZZ0R3,
11434,Bond,RU000A0ZZV03,
10760,Bond,RU000A0ZYVY7,
9974,Unit closed UIF,RU000A0JXP78,
10737,Bond,RU000A0ZYM21,
9118,Corporate bond,RU000A0JVZB6,
10431,Bond,RU000A0JXVG0,
10931,Bond,RU000A0ZZ2A5,
10821,Bond,RU000A0ZYU54,
11322,Bond,RU000A0ZZNL8,
11436,Bond,RU000A0ZZS73,
11278,Bond,RU000A0ZZKW1,
8833,Corporate bond,RU000A0JVCL4,
9011,Bond,RU000A0JVW55,
9012,Bond,RU000A0JVX62,
9163,Bond,RU000A0JW8X7,
9166,Bond,RU000A0JWCP3,
9167,Bond,RU000A0JWCU3,
9168,Bond,RU000A0JWD65,
9169,Bond,RU000A0JWD73,
10599,Bond,RU000A0ZYE96,
10866,Bond,RU000A0ZZ0D3,
11407,Bond,RU000A0ZZR90,
11046,Bond,RU000A0ZZ7R8,
10761,Bond,RU000A0ZYSS5,
6105,Corporate bond,RU000A0JURT7,
11319,Corporate bond,RU000A0ZYPB7,
11103,Bond,RU000A0ZZNM6,
5767,Bond,RU000A0JUL18,
